Organization Name,Total PK-12 Pupil Count,Total Minority Count,Percent Minority,Rural Designation,FREE AND REDUCED,% FREE AND REDUCED,Web Link
WELD COUNTY SCHOOL DISTRICT RE-3J,2352,1079,0.4590,Rural,1007,0.4281,http://www.re3j.com/
WELDON VALLEY RE-20(J),230,38,0.1650,Small Rural,99,0.4304,http://www.weldonvalley.org/
WEST END RE-2,299,36,0.1200,Small Rural,182,0.6087,http://www.westendschools.org/
WEST GRAND 1-JT,423,129,0.3050,Small Rural,209,0.4941,http://www.wgsd.us/
WIGGINS RE-50(J),573,173,0.3020,Small Rural,273,0.4764,http://www.wiggins50.k12.co.us/
WILEY RE-13 JT,268,71,0.2650,Small Rural,118,0.4403,http://www.wileyschool.org/
WINDSOR RE-4,6034,1154,0.1910,Rural,995,0.1649,http://weldre4.org/
WOODLAND PARK RE-2,2480,407,0.1640,Rural,767,0.3093,http://www.wpsdk12.org/
WOODLIN R-104,113,18,0.1590,Small Rural,56,0.4956,http://www.woodlinschool.com/
WRAY RD-2,675,205,0.3040,Small Rural,381,0.5644,http://www.wrayschools.org/
YUMA 1,807,445,0.5510,Small Rural,490,0.6072,http://www.yumaschools.org/
