County,Organization Name,Total PK-12 Pupil Count,Total Minority Count,Percent Minority
MORGAN,FORT MORGAN RE-3,3213,2198,0.68
MORGAN,WELDON VALLEY RE-20(J),230,38,0.17
MORGAN,WIGGINS RE-50(J),573,173,0.30
OTERO,EAST OTERO R-1,1355,949,0.70
OTERO,ROCKY FORD R-2,837,629,0.75
OTERO,MANZANOLA 3J,129,80,0.62
OTERO,FOWLER R-4J,396,102,0.26
OTERO,CHERAW 31,216,65,0.30
OTERO,SWINK 33,366,119,0.33
OURAY,OURAY R-1,189,27,0.14
OURAY,RIDGWAY R-2,334,51,0.15
PARK,PLATTE CANYON 1,989,188,0.19
PARK,PARK COUNTY RE-2,684,132,0.19
PHILLIPS,HOLYOKE RE-1J,581,274,0.47
PHILLIPS,HAXTUN RE-2J,329,36,0.11
PITKIN,ASPEN 1,1698,255,0.15
PROWERS,GRANADA RE-1,217,166,0.77
PROWERS,LAMAR RE-2,1577,918,0.58
PROWERS,HOLLY RE-3,308,172,0.56
PROWERS,WILEY RE-13 JT,268,71,0.27
PUEBLO,PUEBLO CITY 60,17299,12937,0.75
PUEBLO,PUEBLO COUNTY 70,9648,4077,0.42
RIO BLANCO,MEEKER RE1,745,126,0.17
RIO BLANCO,RANGELY RE-4,536,51,0.10
RIO GRANDE,DEL NORTE C-7,440,252,0.57
RIO GRANDE,MONTE VISTA C-8,1173,865,0.74
RIO GRANDE,SARGENT RE-33J,376,115,0.31
ROUTT,HAYDEN RE-1,416,58,0.14
ROUTT,STEAMBOAT SPRINGS RE-2,2580,464,0.18
ROUTT,SOUTH ROUTT RE 3,353,28,0.08
SAGUACHE,MOUNTAIN VALLEY RE 1,132,33,0.25
SAGUACHE,MOFFAT 2,201,46,0.23
SAGUACHE,CENTER 26 JT,635,575,0.91
SAN JUAN,SILVERTON 1,80,27,0.34
SAN MIGUEL,TELLURIDE R-1,900,189,0.21
SAN MIGUEL,NORWOOD R-2J,243,30,0.12
SEDGWICK,JULESBURG RE-1,633,225,0.36
SEDGWICK,REVERE SCHOOL DISTRICT,119,14,0.12
SUMMIT,SUMMIT RE-1,3557,1415,0.40
TELLER,CRIPPLE CREEK-VICTOR RE-1,374,53,0.14
TELLER,WOODLAND PARK RE-2,2480,407,0.16
WASHINGTON,AKRON R-1,378,87,0.23
WASHINGTON,ARICKAREE R-2,97,31,0.32
WASHINGTON,OTIS R-3,242,26,0.11
WASHINGTON,LONE STAR 101,115,20,0.17
WASHINGTON,WOODLIN R-104,113,18,0.16
WELD,WELD COUNTY RE-1,2004,1159,0.58
WELD,EATON RE-2,1878,514,0.27
WELD,WELD COUNTY SCHOOL DISTRICT RE-3J,2352,1079,0.46
WELD,WINDSOR RE-4,6034,1154,0.19
WELD,JOHNSTOWN-MILLIKEN RE-5J,3830,1254,0.33
WELD,GREELEY 6,21950,14596,0.67
WELD,PLATTE VALLEY RE-7,1108,406,0.37
WELD,WELD COUNTY S/D RE-8,2388,1800,0.75
WELD,AULT-HIGHLAND RE-9,853,282,0.33
WELD,BRIGGSDALE RE-10,181,27,0.15
WELD,PRAIRIE RE-11,217,12,0.06
WELD,PAWNEE RE-12,77,9,0.12
YUMA,YUMA 1,807,445,0.55
YUMA,WRAY RD-2,675,205,0.30
YUMA,IDALIA RJ-3,226,59,0.26
YUMA,LIBERTY J-4,80,12,0.15
